"DMC 3726","antique mauve - dk",2,0.00,0.1
"DMC 3727","antique mauve - lt",1,0.00,0.1
"DMC 3733","dusty rose",1,0.00,0.1
"DMC 3740","antique violet - dk",1,0.00,0.1
"DMC 3746","blue violet - dk",42,0.00,0.1
"DMC 3750","antique blue - vy dk",34,0.00,0.1
"DMC 3752","antique blue - vy lt",95,0.00,0.1
"DMC 3753","antique blue - ul vy",139,0.00,0.1
"DMC 3755","baby blue",33,0.00,0.1
"DMC 3756","baby blue - ul vy lt",87,0.00,0.1
"DMC 3766","peacock blue - lt",30,0.00,0.1
"DMC 3768","gray green - dk",105,0.00,0.1
"DMC 3770","tawny - vy lt",1,0.00,0.1
"DMC 3772","desert sand - vy dk",16,0.00,0.1
"DMC 3776","mahogany - lt",117,0.00,0.1
"DMC 3777","terra cotta - vy dk",53,0.00,0.1
"DMC 3778","terra cotta - lt",8,0.00,0.1
"DMC 3781","mocha brown - dk",335,0.00,0.3
"DMC 3782","mocha brown - lt",14,0.00,0.1
"DMC 3787","brown gray - dk",348,0.00,0.3
"DMC 3790","beige gray - ul dk",44,0.00,0.1
"DMC 3799","pewter gray - vy dk",966,0.00,0.8
"DMC 3801","christmas red - lt",8,0.00,0.1
"DMC 3802","antique mauve - vy dk",4,0.00,0.1
"DMC 3807","cornflower blue",31,0.00,0.1
"DMC 3808","turquoise - ul vy dk",20,0.00,0.1
"DMC 3809","turquoise - vy dk",7,0.00,0.1
"DMC 3810","turquoise - dk",5,0.00,0.1
"DMC 3811","turquoise - vy lt",1,0.00,0.1
"DMC 3815","celadon green - dk",8,0.00,0.1
"DMC 3816","celadon green",8,0.00,0.1
"DMC 3817","celadon green - lt",2,0.00,0.1
"DMC 3819","moss green - lt",834,0.00,0.7
"DMC 3820","straw - dk",222,0.00,0.2
"DMC 3821","straw",101,0.00,0.1
"DMC 3822","straw - lt",92,0.00,0.1
"DMC 3823","yellow - ul pl",8,0.00,0.1
"DMC 3826","golden brown",121,0.00,0.1
"DMC 3827","golden brown - pl",10,0.00,0.1
"DMC 3828","hazel nut brown",197,0.00,0.2
"DMC 3829","old gold - vy dk",102,0.00,0.1
"DMC 3830","terra cotta",48,0.00,0.1
"DMC 3833","raspberry - lt",1,0.00,0.1
"DMC 3838","lavender blue - dk",30,0.00,0.1
"DMC 3839","lavender blue - md",36,0.00,0.1
"DMC 3840","lavender blue - lt",149,0.00,0.1
"DMC 3841","pale baby blue",172,0.00,0.2
"DMC 3842","wedgewood - dk",2,0.00,0.1
"DMC 3847","teal green - dk",17,0.00,0.1
"DMC 3852","straw - vy dk",181,0.00,0.2
"DMC 3853","autumn gold - dk",133,0.00,0.1
"DMC 3854","autumn gold - md",1,0.00,0.1
"DMC 3855","autumn gold - lt",4,0.00,0.1
"DMC 3857","rosewood - dk",180,0.00,0.2
"DMC 3858","rosewood - md",21,0.00,0.1
"DMC 3860","cocoa",4,0.00,0.1
"DMC 3861","cocoa - lt",7,0.00,0.1
"DMC 3862","mocha beige - dk",14,0.00,0.1
"DMC 3863","mocha beige - md",12,0.00,0.1
"DMC 3864","mocha beige - lt",13,0.00,0.1
"DMC 3865","winter white",6,0.00,0.1
"DMC 3866","mocha brown - ul vy lt",7,0.00,0.1
"DMC Ecru","ecru",10,0.00,0.1
